"gender","age","nationality","education_ISCED","in_paid_work","religion","ideology_left_right","gen_imm_escape","gen_imm_work","gen_imm_study","gen_imm_family_war","gen_imm_marriage","gen_imm_ess_good_bad","gen_imm_ess_jobs","gen_imm_ess_welfare","gen_imm_ess_safety","imm_anger","imm_fear","imm_hope","imm_sympathy","imm_size","eu_nat_identity","free_move_protect_jobs","free_move_protect_services","part_in_W2","gen_know_switzerland","gen_know_ep","gen_know_party","mig_know_free_move","mig_know_schengen","mig_know_asylum","mig_know_syrians","gen_know_sum","mig_know_sum","gen_know_prop","mig_know_prop","W1_EX1","W1_EX2","W2_EX1","W2_EX2","W2_CC","WEIGHT","WEIGHTEX1","WEIGHTEX2"
"male",55,"uk",7,1,3,7,3,5,5,3,4,8,9,10,7,1,1,4,3,7,2,2,4,1,1,1,1,1,1,0,0,3,3,1,0.75,NA,NA,NA,NA,2,1,1,1
"male",68,"uk",2,0,2,NA,3,3,3,3,3,NA,0,0,10,1,7,1,1,100,3,3,3,1,0,0,1,0,0,0,0,1,1,0.333333333333333,0.25,NA,NA,NA,NA,2,1.0528,1.0514,1.0156
"male",56,"spain",7,1,NA,8,5,5,5,5,5,10,10,10,0,1,1,7,7,20,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",66,"spain",5,1,NA,7,3,4,5,3,5,8,8,5,4,1,2,1,6,2,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",58,"spain",4,1,NA,6,4,4,4,4,4,6,3,6,5,4,4,4,4,30,NA,3,4,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",65,"spain",2,0,1,3,4,4,4,3,4,4,4,0,7,4,4,3,7,20,2,3,2,1,0,0,1,0,0,0,0,1,1,0.333333333333333,0.25,NA,NA,NA,NA,2,1,1,1
"female",55,"spain",4,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,5,1,4,NA,4,15,1,3,NA,1,1,1,1,1,0,0,0,3,2,1,0.5,NA,NA,NA,NA,2,1,1,1
"female",65,"spain",2,0,NA,3,4,3,3,4,3,3,3,0,8,3,2,1,2,30,NA,4,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",25,"spain",5,0,NA,5,3,5,5,3,5,9,10,5,5,1,1,6,7,50,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",53,"spain",5,0,2,9,4,4,4,4,4,4,5,3,4,2,1,3,3,20,2,3,4,1,1,1,1,1,1,0,0,3,3,1,0.75,NA,NA,NA,NA,2,1,1,1
"female",52,"spain",4,1,66,6,NA,4,5,NA,NA,9,7,4,7,6,7,6,6,30,2,2,3,1,0,0,1,0,0,0,0,1,1,0.333333333333333,0.25,NA,NA,NA,NA,2,1.1083,1.107,1.0861
"male",60,"spain",6,1,2,9,3,5,5,4,4,7,5,2,9,2,2,3,3,5,1,3,3,1,1,1,1,1,0,1,1,3,3,1,0.75,NA,NA,NA,NA,2,0.927,0.9589,0.8974
"male",66,"spain",6,0,2,7,4,4,4,4,4,7,5,4,NA,3,3,5,5,10,2,2,3,1,1,0,1,1,1,0,0,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,0.905,0.8991,0.8866
"female",61,"spain",5,0,2,8,4,4,4,4,4,6,5,6,5,1,1,5,5,20,2,4,3,1,1,1,1,1,1,0,1,3,3,1,0.75,NA,NA,NA,NA,2,0.9376,0.9362,0.9041
"female",56,"spain",4,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,NA,NA,NA,1,1,1
"female",51,"sweden",4,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,NA,NA,NA,1,1,1
"male",57,"spain",4,1,NA,7,3,4,3,3,4,9,5,2,10,4,5,3,5,10,NA,2,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",69,"spain",5,0,NA,NA,3,3,4,3,3,10,10,10,0,1,1,6,6,20,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",62,"spain",4,1,2,5,5,4,4,5,4,6,6,3,0,2,2,6,6,50,2,3,3,1,1,1,1,1,0,0,0,3,2,1,0.5,NA,NA,NA,NA,2,1.0893,1.0936,1.0673
"female",57,"sweden",5,1,NA,8,2,4,4,2,4,0,5,0,10,4,4,4,4,20,NA,2,4,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",73,"germany",2,0,1,5,5,4,4,4,4,10,10,5,7,4,2,4,6,8,3,3,3,1,1,0,1,1,1,0,1,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,0.9725,0.9661,0.9366
"male",45,"uk",6,1,NA,5,5,5,5,5,5,10,10,10,10,1,1,7,7,1,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",70,"uk",6,0,66,5,3,4,4,4,2,5,2,5,2,4,5,5,4,25,4,3,5,1,1,0,1,0,0,0,1,2,1,0.666666666666667,0.25,NA,NA,NA,NA,2,1,1,1
